# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11615
#@/user_id	0ba0088c-26ad-4165-b815-edfac2094e5f
a 	啊	c=33 d=1.71352 t=11615
bu xing 	步行	c=1 d=1.93611e-08 t=11615
bu yan zhong 	不嚴重	c=1 d=8.78693e-09 t=11615
bu yi 	不一	c=2 d=0.242926 t=11615
bu yi 	不宜	c=2 d=1.14117e-05 t=11615
bu yi 	不易	c=4 d=0.690734 t=11615
bu yi yang 	不一樣	c=1 d=0.00822975 t=11615
bu ying 	不應	c=1 d=1.23912e-08 t=11615
bu ying qi 	不應期	c=1 d=4.62211e-10 t=11615
bu ying xiang 	不影響	c=1 d=6.72284e-06 t=11615
bu yong 	不用	c=4 d=0.0441572 t=11615
bu za di 	不咋地	c=1 d=1.69541e-05 t=11615
bu zeng gao 	不增高	c=1 d=0.140858 t=11615
bu zhen 	不振	c=1 d=0.00123091 t=11615
bu zu 	不足	c=8 d=4.13319e-08 t=11615
cai 	才	c=1 d=3.45021e-11 t=11615
cai ce 	猜測	c=1 d=1.98647e-16 t=11615
cai dan 	菜單	c=1 d=4.63171e-05 t=11615
cai ji 	採集	c=3 d=0.132159 t=11615
cai ji hou 	採集後	c=1 d=0.0485578 t=11615
cai ji shi 	採集時	c=1 d=0.060205 t=11615
cai neng 	才能	c=1 d=6.87523e-05 t=11615
cai qu 	採取	c=2 d=0.0379479 t=11615
cai se 	彩色	c=8 d=1.28711e-15 t=11615
cai yong 	採用	c=5 d=0.0642206 t=11615
cai yong jing mai 	採用靜脈	c=1 d=6.66275e-18 t=11615
can 	殘	c=2 d=5.22576e-05 t=11615
can kao zhi 	參考值	c=1 d=1.04439e-11 t=11615
can shu 	參數	c=3 d=5.41443e-17 t=11615
can yu 	參與	c=7 d=0.105399 t=11615
ce 	側	c=3 d=0.946064 t=11615
ce chu 	測出	c=1 d=6.5466e-17 t=11615
ce ding 	測定	c=12 d=0.0459021 t=11615
ce lian 	側鏈	c=3 d=1.04395e-14 t=11615
ce liang 	測量	c=2 d=2.8303e-16 t=11615
ce liang fa 	測量法	c=1 d=8.89743e-14 t=11615
ce mian 	側面	c=1 d=3.36503e-11 t=11615
ce ping 	測評	c=3 d=5.62709e-17 t=11615
ce shi 	測試	c=17 d=0.019045 t=11615
ce wo 	側臥	c=1 d=0.631284 t=11615
ce xiang 	側向	c=2 d=1.73942e-16 t=11615
ceng 	層	c=2 d=0.00379148 t=11615
ceng ci 	層次	c=1 d=1.53564e-17 t=11615
ceng mian 	層面	c=2 d=1.9036e-17 t=11615
cha 	差	c=6 d=0.179955 t=11615
cha 	查	c=1 d=6.70891e-11 t=11615
cha bie 	差別	c=0 d=1.379e-17 t=11615
cha bu duo 	差不多	c=1 d=6.55797e-08 t=11615
cha dao 	查到	c=1 d=0.000120363 t=11615
cha de 	差得	c=1 d=0.00477195 t=11615
cha jian 	插件	c=8 d=0.000547596 t=11615
cha ru 	插入	c=4 d=0.00022263 t=11615
cha xun 	查詢	c=3 d=0.415598 t=11615
cha yi 	差異	c=5 d=8.04073e-18 t=11615
cha yi xing 	差異性	c=0 d=5.90329e-07 t=11615
chan dong 	顫動	c=2 d=0.00265576 t=11615
chan dou 	顫抖	c=1 d=2.77556e-10 t=11615
chan sheng 	產生	c=17 d=1.17966 t=11615
chan wu 	產物	c=1 d=7.05535e-16 t=11615
chang 	場	c=1 d=3.38362e-17 t=11615
chang 	常	c=13 d=0.367879 t=11615
chang 	腸	c=2 d=0.000116806 t=11615
chang 	長	c=1 d=1.28512e-10 t=11615
chang ban you 	常伴有	c=1 d=4.69356e-14 t=11615
chang dao 	腸道	c=5 d=1.39239e-12 t=11615
chang duan 	長短	c=1 d=4.64528e-10 t=11615
chang gan xun huan 	腸肝循環	c=1 d=1.40734e-20 t=11615
chang gui 	常規	c=1 d=4.88677e-18 t=11615
chang jia 	廠家	c=1 d=2.15749e-17 t=11615
chang jian 	常見	c=8 d=0.533512 t=11615
chang jian yu 	常見於	c=9 d=0.00554422 t=11615
chang qi 	長期	c=4 d=0.000211772 t=11615
chang qiang 	腸腔	c=1 d=1.58569e-12 t=11615
chang sheng 	長生	c=1 d=0.40657 t=11615
chang shu 	常數	c=1 d=2.575e-20 t=11615
chang suo 	場所	c=1 d=4.80322e-21 t=11615
chang wei 	常爲	c=1 d=8.74609e-13 t=11615
chang xiao 	長效	c=1 d=2.67226e-05 t=11615
chang xu 	常須	c=1 d=4.92398e-19 t=11615
chang yong 	常用	c=5 d=0.348192 t=11615
chang you 	常有	c=2 d=0.0045169 t=11615
chang zhou 	長軸	c=1 d=9.15176e-17 t=11615
chao 	超	c=3 d=0.00029256 t=11615
chao guo 	超過	c=10 d=0.00300692 t=11615
chao sheng 	超聲	c=21 d=1.30035e-06 t=11615
chao sheng bo 	超聲波	c=2 d=3.29727e-07 t=11615
chao shui 	潮水	c=1 d=4.8365e-14 t=11615
chao xiang 	朝向	c=1 d=1.25079e-15 t=11615
chen jiu 	陳舊	c=0 d=0.0115325 t=11615
chen jiu xing 	陳舊性	c=2 d=0.235935 t=11615
chen zhuo 	沉着	c=1 d=5.83046e-07 t=11615
cheng 	呈	c=17 d=0.0883444 t=11615
cheng 	成	c=8 d=6.84211e-07 t=11615
cheng 	稱	c=3 d=0.0188221 t=11615
cheng du 	程度	c=11 d=3.1953e-06 t=11615
cheng du yu 	程度與	c=1 d=3.34767e-09 t=11615
cheng fen 	成分	c=7 d=0.145009 t=11615
cheng ji 	乘積	c=1 d=2.83307e-16 t=11615
cheng ren 	成人	c=2 d=0.0029186 t=11615
cheng shou 	承受	c=1 d=0.241714 t=11615
cheng wei 	成爲	c=3 d=2.05264e-12 t=11615
cheng wei 	稱爲	c=28 d=1.38027 t=11615
cheng xian 	呈現	c=2 d=0.000139144 t=11615
cheng xiang 	成像	c=10 d=2.7785e-17 t=11615
cheng xiang zhong 	成像中	c=1 d=2.06754e-16 t=11615
cheng xu 	程序	c=1 d=0.304221 t=11615
cheng zheng bi 	成正比	c=2 d=1.30186e-15 t=11615
cheng zhi wei 	稱之爲	c=1 d=0.436049 t=11615
chi 	池	c=1 d=0.00831246 t=11615
chi fa 	喫法	c=1 d=0.183599 t=11615
chi fa 	遲發	c=1 d=0.18452 t=11615
chi xu 	持續	c=3 d=0.000642592 t=11615
chi yu 	遲於	c=1 d=0.00357068 t=11615
chong 	衝	c=3 d=0.219808 t=11615
chong 	重	c=0 d=9.62426e-22 t=11615
chong die 	重疊	c=3 d=1.53071e-16 t=11615
chong dong 	衝動	c=1 d=8.31812e-11 t=11615
chong fen 	充分	c=0 d=3.51142e-13 t=11615
chong fen xing 	充分性	c=1 d=3.52902e-12 t=11615
chong fu 	重複	c=2 d=4.29704e-05 t=11615
chong gou 	重構	c=2 d=0.0150707 t=11615
chong ji 	衝擊	c=1 d=0.000437252 t=11615
chong jian 	重建	c=2 d=6.05572e-18 t=11615
chong mai 	衝脈	c=0 d=4.86074e-15 t=11615
chong man 	充滿	c=2 d=0.0163776 t=11615
chong qi 	充氣	c=2 d=0.016875 t=11615
chong qi 	重啓	c=1 d=0.000246044 t=11615
chong xi shou 	重吸收	c=5 d=1.87841e-12 t=11615
chong xin 	重新	c=2 d=4.97078e-09 t=11615
chong xue 	充血	c=3 d=0.225373 t=11615
chong ying 	充盈	c=1 d=6.09882e-07 t=11615
chong ying shi 	充盈時	c=1 d=1.58596e-14 t=11615
chou 	抽	c=1 d=6.05377e-08 t=11615
chou 	臭	c=2 d=0.00116302 t=11615
chou xiang 	抽象	c=1 d=4.08247e-20 t=11615
chu 	出	c=4 d=0.00160693 t=11615
chu 	杵	c=4 d=0.0183593 t=11615
chu 	處	c=4 d=0.741307 t=11615
chu 	除	c=2 d=0.00207641 t=11615
chu bei 	儲備	c=1 d=1.86083e-12 t=11615
chu cun 	儲存	c=1 d=0.453845 t=11615
chu cun ku 	儲存庫	c=1 d=0.477114 t=11615
chu cun zai 	儲存在	c=1 d=1.42861e-20 t=11615
chu ji 	觸及	c=1 d=8.87373e-07 t=11615
chu jue 	觸覺	c=1 d=0.26982 t=11615
chu lai 	出來	c=3 d=1.66184e-05 t=11615
chu li 	處理	c=2 d=0.794534 t=11615
chu liang 	儲量	c=1 d=0.111359 t=11615
chu liang 	出量	c=0 d=7.284e-09 t=11615
chu qi 	初期	c=1 d=1.93677e-12 t=11615
chu qu 	出去	c=1 d=4.29996e-13 t=11615
chu qu 	除去	c=1 d=3.23143e-05 t=11615
chu wai 	除外	c=1 d=2.78369e-15 t=11615
chu xian 	出現	c=16 d=0.282977 t=11615
chu xian zai 	出現在	c=2 d=0.1764 t=11615
chu xue 	出血	c=8 d=0.542929 t=11615
chu yi ban 	除一般	c=1 d=5.33045e-11 t=11615
chu yu 	處於	c=1 d=3.11488e-14 t=11615
chu zhen 	觸診	c=1 d=0.000699601 t=11615
chu zhuang 	杵狀	c=1 d=0.00138093 t=11615
chuan 	傳	c=2 d=0.000850233 t=11615
chuan bo 	傳播	c=3 d=1.0816e-15 t=11615
chuan bo zhong 	傳播中	c=1 d=7.36222e-16 t=11615
chuan ci 	穿刺	c=6 d=0.965605 t=11615
chuan dao 	傳到	c=1 d=0.153355 t=11615
chuan dao 	傳導	c=4 d=9.53126e-06 t=11615
chuan dao xing 	傳導性	c=1 d=8.67557e-06 t=11615
chuan di 	傳遞	c=2 d=8.12467e-17 t=11615
chuan kong 	穿孔	c=1 d=2.60044e-08 t=11615
chuan ran 	傳染	c=1 d=4.55407e-12 t=11615
chuan ran xing 	傳染性	c=1 d=0.209088 t=11615
chuan tong 	傳統	c=3 d=8.47664e-19 t=11615
chuan tou xing 	穿透性	c=1 d=1.32859e-19 t=11615
chuan zhi 	傳至	c=1 d=0.000911882 t=11615
chuang 	牀	c=1 d=3.02385e-18 t=11615
chuang jian 	創建	c=1 d=5.48998e-05 t=11615
chuang kou 	窗口	c=9 d=0.000384843 t=11615
chuang shang 	創傷	c=0 d=9.66736e-10 t=11615
chuang shang xing 	創傷性	c=1 d=9.71106e-09 t=11615
chui fen 	吹分	c=1 d=1.04457e-13 t=11615
chui feng 	吹風	c=1 d=4.91377e-14 t=11615
chui feng yang 	吹風樣	c=1 d=1.07638e-13 t=11615
chui zhi 	垂直	c=4 d=0.000382292 t=11615
ci 	次	c=8 d=0.0372788 t=11615
ci 	此	c=1 d=0.421052 t=11615
ci 	詞	c=1 d=0.00530026 t=11615
ci dian 	詞典	c=1 d=0.995012 t=11615
ci ji xing 	刺激性	c=1 d=1.23112e-05 t=11615
ci ku 	詞庫	c=1 d=1 t=11601
ci wai 	此外	c=2 d=8.05449e-11 t=11615
cong 	從	c=8 d=0.000236611 t=11615
cong er 	從而	c=2 d=7.97444e-19 t=11615
cong shi 	從事	c=1 d=1.53063e-08 t=11615
cu 	促	c=1 d=9.57363e-15 t=11615
cu 	簇	c=1 d=0.00660453 t=11615
cu cao 	粗糙	c=3 d=0.000893825 t=11615
cu jia zhuang xian 	促甲狀腺	c=1 d=1.17491e-14 t=11615
cu jin 	促進	c=2 d=0.900325 t=11615
cu suan 	醋酸	c=1 d=5.71793e-13 t=11615
cui hua 	催化	c=2 d=3.58132e-12 t=11615
cun chu 	存儲	c=1 d=3.35052e-19 t=11615
cun zai 	存在	c=9 d=0.0116677 t=11615
da 	大	c=18 d=0.00473236 t=11615
da 	打	c=1 d=9.52094e-05 t=11615
da 	答	c=6 d=0.0824266 t=11615
da bao 	打包	c=1 d=0.0464212 t=11615
da bu guo 	打不過	c=1 d=0.00918669 t=11615
da chu xie 	大出血	c=1 d=4.66936e-12 t=11615
da da 	大大	c=-1 d=0.250285 t=11615
da da da 	答大大	c=1 d=0.225373 t=11615
da dao 	達到	c=-1 d=3.54025e-10 t=11615
da dong mai 	大動脈	c=1 d=8.50957e-14 t=11615
da duo shu 	大多數	c=1 d=3.7183e-09 t=11615
da fan wei 	大範圍	c=1 d=0.282239 t=11615
da fen zi 	大分子	c=3 d=0.826959 t=11615
da jie mian 	大界面	c=2 d=1.43037e-15 t=11615
da kai 	打開	c=7 d=0.124307 t=11615
da kuai 	大塊	c=1 d=2.10788e-08 t=11615
da liang 	大量	c=11 d=0.649794 t=11615
da mian ji 	大面積	c=2 d=0.00308872 t=11615
da mian ji shao shang 	大面積燒傷	c=1 d=4.69276e-12 t=11615
da nao 	大腦	c=3 d=0.721639 t=11615
da pi 	大批	c=1 d=1.77345e-05 t=11615
da pian 	大片	c=3 d=0.0019973 t=11615
da qin 	大秦	c=1 d=1.46657e-05 t=11615
da sa 	搭撒	c=1 d=0.021743 t=11615
da sa a da 	搭撒阿達	c=1 d=0.217621 t=11615
da sa ai de 	搭撒愛的	c=1 d=8.65317e-05 t=11615
da sa da 	搭撒打	c=6 d=0.0415578 t=11615
da sa da da sa da 	搭撒打搭撒打	c=1 d=3.16745e-05 t=11615
da sa da de 	搭撒打的	c=3 d=0.0148246 t=11615
da sa da sa da sa da sa dan sa da sa da sa dan sa da sa da sa dan sa da sa da sa dan 	搭撒打撒搭撒打撒旦撒搭撒打撒旦撒搭撒打撒旦撒搭撒打撒旦	c=2 d=0.0269344 t=11615
da sa da sa dan 	搭撒打撒旦	c=2 d=0.00281244 t=11615
da sa da shi 	搭撒打時	c=1 d=0.00414545 t=11615
da sa da shi dai sa dan 	搭撒大時代撒旦	c=1 d=2.76745e-05 t=11615
da shi dai 	大時代	c=0 d=2.75364e-06 t=11615
da shou shu 	大手術	c=1 d=4.73992e-12 t=11615
da wan 	打完	c=1 d=0.000206543 t=11615
da xiao 	大小	c=10 d=0.918513 t=11615
da xue 	大學	c=2 d=1.52362e-05 t=11615
da yin 	打印	c=1 d=3.3842e-19 t=11615
da yu 	大於	c=7 d=0.404542 t=11615
dai 	代	c=1 d=3.10737e-15 t=11615
dai 	帶	c=1 d=5.09261e-15 t=11615
dai biao 	代表	c=1 d=1.37427e-06 t=11615
dai biao xing 	代表型	c=1 d=5.25556e-21 t=11615
dai biao yao wu 	代表藥物	c=1 d=1.38116e-05 t=11615
dai chang 	代償	c=6 d=0.0889456 t=11615
dai chang qi 	代償期	c=8 d=5.9365e-05 t=11615
dai fu dian 	帶負電	c=1 d=4.82483e-15 t=11615
dai suan 	代酸	c=2 d=0.0560337 t=11615
dai ti 	代替	c=1 d=0.00392653 t=11615
dai xie 	代謝	c=17 d=0.102276 t=11615
dai xie wu 	代謝物	c=1 d=1.05306e-20 t=11615
dan 	但	c=9 d=0.177284 t=11615
dan 	單	c=3 d=0.000115701 t=11615
dan 	氮	c=2 d=7.00325e-12 t=11615
dan bai 	蛋白	c=23 d=0.947811 t=11615
dan bai dian yong 	蛋白電泳	c=1 d=5.74561e-11 t=11615
dan bai he cheng 	蛋白合成	c=1 d=1.27562e-11 t=11615
dan bai xue zheng 	蛋白血癥	c=1 d=0.0163259 t=11615
dan bai zhi 	蛋白質	c=17 d=0.257117 t=11615
dan bei 	單杯	c=0 d=1.78385e-16 t=11615
